Name,Comment,Time,Likes
Jeremiah Mckenna,"Gap should have updated their style about 18 years ago, but wanted to stay conservative with what had worked for them in the past.  Well, we all know that you can't sped yesterdays money.  Their styling is bland anymore, and ""What was old is new again,"" won't work in this case.


Banana Republic changed their style to skinny jeans for both sides of the store, and held on to that fashion trend fail for far too long, and now it is hard to find anything on the men's side that separates it from the female side of the store.  Plus, their prices are way, way too high for the lower quality of materials and craftsmanship.  But that is what happens when you change your suppliers from higher quality manufacturers in places like Vietnam, to lower quality places like Mainland China.


Old Navy is ok, but also low quality for prices higher than Walmart.


CEO's and upper management should have their pay connected directly to how the business is making money.",2020-02-09T17:41:13Z,0
B I,Maybe GAP and OLD NAVY should stop accusing customers of shoplifting,2020-02-09T14:46:13Z,0
H A,"I used to shop at gap all the time between 1998 and 2005... after that as i grew older their styles gradually stopped fitting my taste. 
Plus the fact that their quality os not what i am used to. 
Plus the fact i dont need a big bold word on my clothes. 
Now at age 40 i find what i need at: 
- zara
- hollister
- old navy
- polo
- calvin klein
As for the jeans: mainly levis, hollister and salsa jeans. 
I no longer recognize gap",2020-02-09T10:24:22Z,0
MsBee BEA,Gap needs to Revamp period! Younger folk from top to bottom! And for christ sake scale the big stupid Logo Down!,2020-02-08T03:29:59Z,0
CM ONHITME,"You give sales figures...which is kind of useful....but in order to   really see what is going on - net income growth...debt management... that said i really, really like your video- get rid of cramer- he's a lunatic",2020-02-03T10:53:01Z,0
warren jay,Bring back the G.A.P BLUE COLOGNE!!!..... smelled great!...😊,2020-01-30T01:27:22Z,0
Nono Zebra,Simply overpriced,2020-01-28T16:42:38Z,1
Barb,ok boomer,2020-01-25T20:27:35Z,0
yo soy la princesa,the gap logo is ugly. the STITCHED gap logo is the ugliest,2020-01-22T21:50:52Z,0
Abby Chandler,1:26 it’s frightening how much this dude resembles patrick bateman,2020-01-22T15:13:31Z,0
J,"So advertising and marketing 🤔
Failures in this u where",2020-01-22T03:01:34Z,0
Peter Sim,"They were also discriminating they only sold jean and chinos from size 26 to 34 only, any with larger frame and bigger guys need not bother to go in their store in Asia. They assumed that all guys in Asia are small. I was tempted to buy online and have the jeans shipped to Malaysia, I decided not to support. Their retail shops closed in Malaysia in late 2019, together with Old Navy too. Didn't do market research, people over 35 with some larger waistline did not have opportunity to support them. Being discriminating larger guys, over priced jeans and arrogant staffs. They still dont get it people like me are the only people whom could afford to buy at the price they trying to fight with Levis.",2020-01-21T09:19:59Z,0
Nick S.,"Their denim is good. Also, no it’s no overpriced. It’s just marked up with the intent to be sold on sale.",2020-01-20T21:39:12Z,1
Asia Grabowska,"Every year same, cheap not interesting stuff.",2020-01-20T19:15:27Z,1
Deep Point Türkiye,Go down USA,2020-01-20T19:05:12Z,0
Jason,"I always get mixed up between Gap and Guess, they are both similar brands",2020-01-18T16:00:37Z,1
Hang Nguyen,I buy my son clothes from baby gap up till the last 2 years....their quality is equivalent to Walmart now.,2020-01-16T07:50:35Z,0
Mudslynger,I'll never forget their dancing ad campaign which was cutting edge. My teen JUST bought her first pair of GAP jeans where previously she would groan if I wanted to look around in their store; these kids barley know Gap (or think of the brand as 'old') and certainly would never wear anything with their logo on it...Who would name an apparel company 'Intermix'?!,2020-01-14T18:22:54Z,1
heynorty013,Intermix is a super high end store that sell brands like Jimmy Choo and Alexander McQueen. It is not a store that sells it own branded clothes like the Gap or Old Navy. I am from NYC and I would see the Intermix shopping bag all the time on shoulders of young women all during the 2000s.,2021-03-18T21:08:41Z,0
justin thompson,"Everybody: GAP needs to stop putting its name on sweaters.

Jim Cramer: hahakdhslajdhbd agjakdhs ahdjfieu hahhdbd alajdhd orif hwnend auodkdbdb.",2020-01-10T03:04:10Z,0
lnce soric,あらま,2020-01-08T04:27:08Z,0
yuh yuh,My Gap clothes all look the same.  I recently got a Gap sweater in a sale and it literally says G on it. How creative.,2020-01-07T20:04:51Z,0
